"","year","CAI","LAI","density","DBH","density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time","WDgrow","WDmort","WDrepr","WDkill"
"1",1,0.0135900117456913,0.0353867746889591,320,1.98900902271271,0,0,1.83670992315982e-37,0.00717347022145987,0.0146639375016093,0.00749047426506877,0.000304132787277922,44650784,799.902893066406,0,144.708038330078,44650668,0.0216673947870731,0.00341166579164565,1.31192696094513,NA,NA,0.00529457628726959,0.000329577422235161,0.00323334336280823,0.00359126133844256,0.00632684212177992,0.00289179384708405,1.11504316329956,0.0164788793772459,0.0642844140529633,0.0897815451025963,0.0180766917765141,0.00826227013021708,3.37450073857326e-05,0.00286293495446444,0.000514985818881541,0.00337450066581368,NA,NA,200,0,0.703099608421326,-90.0120849609375,0.0875128880143166,NA,3.22859166180438e-39,1.85837577993458e+37,1.81786654423504e+34,1.8523599039282e+31,1.00000047683716,0.00205037649720907,0.0247837118804455,0.00383614539168775,0.00281863636337221,0,0,0,1.02595496177673,0.00281863636337221,4.31894199689552e-41,9.11180313442569e-41,NA
"2",2,0.0186381191015244,0.0421939641237259,629.033203125,1.40805149078369,0,0,1.83670992315982e-37,0.0198407843708992,0.0260438527911901,0.0062030591070652,0.000953242706600577,44772384,799.943725585938,0,121.288352966309,44772272,0.0363797135651112,0.00758690200746059,1.80039298534393,NA,NA,0.0146188903599977,0.000686575192958117,0.0029102445114404,0.00414089672267437,0.00716068595647812,0.00686242105439305,1.55327820777893,0.0343287363648415,0.0691975876688957,0.103522419929504,0.0204591006040573,0.0196069180965424,0.00012618480832316,0.00630470225587487,0.00115601473953575,0.0126184802502394,NA,NA,200,0,0.618672668933868,-73.9812927246094,0.117279410362244,NA,0.313098549842834,0.0156549364328384,0.313098549842834,0.0156549382954836,1.99997925758362,0.00304144970141351,0.0290188379585743,0.000321532192174345,0.00484228087589145,0.000406532926717773,0.000211154620046727,0.000100429497251753,1.41718769073486,0.00484228087589145,2.01141619982081e-06,0,0
"3",3,0.0273577589541674,0.0668016672134399,1207.15173339844,1.12365806102753,0,0,1.83670992315982e-37,0.0234829559922218,0.0347135923802853,0.0112306261435151,0.00198473525233567,41133176,799.962829589844,0,128.822280883789,41133052,0.0522505342960358,0.0132143013179302,2.66677951812744,NA,NA,0.0186276156455278,0.00113974697887897,0.00451290374621749,0.00662606116384268,0.0124979456886649,0.00884625874459743,2.27400088310242,0.0569873563945293,0.109156861901283,0.165651440620422,0.0357084162533283,0.0252750273793936,0.000287718459730968,0.0110191777348518,0.0019074056763202,0.028771847486496,NA,NA,200,0,1.08050465583801,-83.4003524780273,0.173176467418671,NA,0.597657859325409,0.0298828706145287,0.597657859325409,0.0298828724771738,2.99995803833008,0.00496517447754741,0.0353052839636803,0.00233604339882731,0.00735012628138065,0.00195393874309957,0.000432198896305636,0.000148559251101688,1.20355188846588,0.00735012628138065,4.01628312829416e-06,0,0
"4",4,0.0407346189022064,0.107957519590855,2141.41455078125,0.995644092559814,0,0,1.83670992315982e-37,0.0323846340179443,0.0487538985908031,0.0163692496716976,0.00304634892381728,57782996,799.943237304688,0,113.279998779297,57782876,0.0723074525594711,0.0224956180900335,5.12732791900635,NA,NA,0.0221836883574724,0.00208232831209898,0.0066929729655385,0.0107082603499293,0.0203197710216045,0.0103204343467951,4.49620389938354,0.104116424918175,0.171758309006691,0.267706304788589,0.0580564886331558,0.0294869523495436,0.000517038337420672,0.0189393535256386,0.00303922663442791,0.0517038367688656,NA,NA,200,0,2.82300972938538,-74.1383972167969,0.279549479484558,NA,0.982734858989716,0.0491367504000664,0.982734858989716,0.0491367504000664,3.99993681907654,0.00781702157109976,0.0423340387642384,0.00325634004548192,0.00935036968439817,0.00484719453379512,0.000776946020778269,0.000250918936217204,1.10374617576599,0.00935036968439817,7.50036906538298e-06,0,0
"5",5,0.0516280047595501,0.14627343416214,3303.10522460938,0.916962802410126,0,0,1.83670992315982e-37,0.0450024232268333,0.0662176534533501,0.0212152171880007,0.00685136113315821,46136464,799.894470214844,0,122.398582458496,46136344,0.0851659774780273,0.0477881580591202,5.75490856170654,NA,NA,0.0237323902547359,0.00326363346539438,0.00905349850654602,0.0144215747714043,0.0231953859329224,0.0114994961768389,4.89961433410645,0.163181737065315,0.232445061206818,0.360539197921753,0.0662725418806076,0.0328557081520557,0.00105742074083537,0.0358504317700863,0.0108803063631058,0.105742074549198,NA,NA,200,0,2.02623295783997,-78.4188232421875,0.361976146697998,NA,1.32206332683563,0.0661031752824783,1.32206332683563,0.0661031827330589,5.00000238418579,0.00446319906041026,0.0338318310678005,0.00452469196170568,0.0103247286751866,0.00917827151715755,0.000402776262490079,0.000100432385806926,1.11378192901611,0.0103247286751866,1.22398550956859e-05,0,0
"6",6,0.0788580402731895,0.217710688710213,5754.75390625,0.844245612621307,0,0,1.83670992315982e-37,0.0663084611296654,0.0974355116486549,0.0311270263046026,0.0111203072592616,37591944,799.952697753906,0,152.381973266602,37591788,0.121071875095367,0.0670704916119576,11.4372091293335,NA,NA,0.0349892117083073,0.00570484483614564,0.0116846272721887,0.0214287247508764,0.0327071622014046,0.0145573019981384,10.1490077972412,0.285242229700089,0.332202196121216,0.535717606544495,0.0934490263462067,0.0415922999382019,0.00177650270052254,0.0509253293275833,0.0143686579540372,0.177650272846222,NA,NA,200,0,6.99678230285645,-89.1657791137695,0.542589962482452,NA,2.85999631881714,0.142999887466431,2.85999631881714,0.142999887466431,6.00006818771362,0.00569139327853918,0.0372865125536919,0.00503085134550929,0.0139330448582768,0.0139905009418726,0.000765382603276521,0.000173934895428829,1.04480409622192,0.0139330448582768,1.92188635992352e-05,0,0
"7",7,0.1169593334198,0.324259996414185,8884.5927734375,0.828270733356476,0,0,1.83670992315982e-37,0.0935251265764236,0.138774707913399,0.0452496521174908,0.0151824560016394,57758956,799.970458984375,0,109.349067687988,57758840,0.167351722717285,0.0991332530975342,14.0196380615234,NA,NA,0.0459530539810658,0.0102860042825341,0.0153228901326656,0.0314210578799248,0.0455889776349068,0.0187797471880913,12.0567283630371,0.514300048351288,0.479171991348267,0.78552633523941,0.130254223942757,0.0536564029753208,0.00271194335073233,0.0765842497348785,0.0198370590806007,0.271194308996201,NA,NA,200,0,6.36970233917236,-80.7736206054688,0.789150774478912,NA,3.89257764816284,0.194628894329071,3.89257764816284,0.194628894329071,7.00013399124146,0.00725768553093076,0.0410942770540714,0.00686251604929566,0.0199155136942863,0.0250321738421917,0.00128166214562953,0.000298900820780545,0.942970752716064,0.0199155136942863,2.88950141111854e-05,0,0
"8",8,0.180385529994965,0.48240539431572,15108.9296875,0.784031867980957,0,0,1.83670992315982e-37,0.139352142810822,0.206816077232361,0.0674639120697975,0.0245135668665171,45639480,799.793823242188,0,123.61946105957,45639344,0.23364944756031,0.14767424762249,24.1432037353516,NA,NA,0.0639739409089088,0.0141296852380037,0.020761176943779,0.047055047005415,0.06314717233181,0.0245824288576841,21.3120098114014,0.706484198570251,0.697678685188293,1.17637574672699,0.180420488119125,0.070235513150692,0.00418716901913285,0.114739365875721,0.0287477113306522,0.418716907501221,NA,NA,200,0,14.266749382019,-86.2206497192383,1.14391660690308,NA,9.23178577423096,0.461589068174362,9.23178577423096,0.461589068174362,8.00019931793213,0.00915550254285336,0.0450954772531986,0.00995016563683748,0.0280870143324137,0.0390344113111496,0.00197255774401128,0.000468457350507379,0.875223994255066,0.0280870143324137,4.33396380685735e-05,0.000443633005488664,0
"9",9,0.269170075654984,0.743946373462677,20865.65234375,0.833382189273834,0,0,1.83670992315982e-37,0.212155699729919,0.313546568155289,0.101390711963177,0.0329408757388592,47787412,799.935302734375,0,103.544097900391,47787296,0.338532745838165,0.22200520336628,31.3297214508057,NA,NA,0.0894337892532349,0.0261024814099073,0.0290822423994541,0.0723615065217018,0.089945986866951,0.0316067188978195,26.8141956329346,1.30512416362762,1.05406963825226,1.80903685092926,0.256988525390625,0.0903049185872078,0.00618869857862592,0.175275266170502,0.0405412279069424,0.618869841098785,NA,NA,200,0,13.0076332092285,-76.7163162231445,1.7483104467392,NA,8.7700309753418,0.438501417636871,8.77003002166748,0.438501447439194,9.00026512145996,0.0114142270758748,0.0492535084486008,0.0140865668654442,0.040998999029398,0.0664899945259094,0.00355859496630728,0.000828226679004729,0.770914375782013,0.040998999029398,6.38150959275663e-05,0.000303725653793663,0
"10",10,0.416720598936081,1.0585550069809,39924.52734375,0.72523033618927,0,0,1.83670992315982e-37,0.295654714107513,0.439963132143021,0.144308373332024,0.0569476597011089,42431052,799.942687988281,0,126.114906311035,42430928,0.457304030656815,0.341940820217133,49.8590126037598,NA,NA,0.121268190443516,0.0316549390554428,0.0392396077513695,0.103838503360748,0.121135003864765,0.0401677824556828,43.7356834411621,1.58274638652802,1.4837554693222,2.59596300125122,0.346099972724915,0.114765048027039,0.009728929027915,0.268003404140472,0.0642084926366806,0.972892940044403,NA,NA,200,0,28.732385635376,-84.0442199707031,2.41040182113647,NA,23.8361759185791,1.19180905818939,23.8361759185791,1.19180917739868,10.0003309249878,0.0140060810372233,0.0534543804824352,0.0197819452732801,0.0547725558280945,0.0871696621179581,0.00501224398612976,0.00113194575533271,0.73335599899292,0.0547725558280945,9.20584134291857e-05,0.00036337977508083,0
